tags,title,idauthor,author
3952,"['J', 'R', 'C']",the impacts of neighborhoods on intergenerational mobility i: childhood exposure effects,p03877,nathaniel hendren
3952,"['J', 'R', 'C']",the impacts of neighborhoods on intergenerational mobility i: childhood exposure effects, p04390, raj chetty
3953,"['J', 'R', 'C']",the impacts of neighborhoods on intergenerational mobility ii: county-level estimates,p03877,nathaniel hendren
3953,"['J', 'R', 'C']",the impacts of neighborhoods on intergenerational mobility ii: county-level estimates, p04390, raj chetty
3954,"['O', 'L', 'D']",interfirm relationships and business performance,p00033,adam szeidl
3954,"['O', 'L', 'D']",interfirm relationships and business performance, p02512, jing cai
3956,"['J', 'E']",ranking firms using revealed preference,p02218,isaac sorkin
3957,"['O', 'R', 'F']",long-range growth: economic development in the global network of air links,p01267,david yanagizawa-drott
3957,"['O', 'R', 'F']",long-range growth: economic development in the global network of air links, p01695, filipe campante
3959,"['G', 'N', 'R', 'E']",the macroeconomic effects of government asset purchases: evidence from postwar u.s. housing credit policy,p00339,andrew fieldhouse
3959,"['G', 'N', 'R', 'E']",the macroeconomic effects of government asset purchases: evidence from postwar u.s. housing credit policy, p02908, karel mertens
3959,"['G', 'N', 'R', 'E']",the macroeconomic effects of government asset purchases: evidence from postwar u.s. housing credit policy, p03825, morten ravn
3960,"['O', 'D', 'C']",status goods: experimental evidence from platinum credit cards,p00747,bruno ferman
3960,"['O', 'D', 'C']",status goods: experimental evidence from platinum credit cards, p01843, gautam rao
3960,"['O', 'D', 'C']",status goods: experimental evidence from platinum credit cards, p03171, leonardo bursztyn
3960,"['O', 'D', 'C']",status goods: experimental evidence from platinum credit cards, p03510, martin kanz
3960,"['O', 'D', 'C']",status goods: experimental evidence from platinum credit cards, p04979, stefano fiorin
3961,['Q'],do energy efficiency investments deliver? evidence from the weatherization assistance program,p00815,catherine wolfram
3961,['Q'],do energy efficiency investments deliver? evidence from the weatherization assistance program, p03657, meredith fowlie
3961,['Q'],do energy efficiency investments deliver? evidence from the weatherization assistance program, p03684, michael greenstone
3962,"['D', 'F']",global evidence on economic preferences,p00385,anke becker
3962,"['D', 'F']",global evidence on economic preferences, p00473, armin falk
3962,"['D', 'F']",global evidence on economic preferences, p00604, benjamin enke
3962,"['D', 'F']",global evidence on economic preferences, p01201, david huffman
3962,"['D', 'F']",global evidence on economic preferences, p05204, thomas dohmen
3962,"['D', 'F']",global evidence on economic preferences, p05382, uwe sunde
3963,"['D', 'G', 'E']",excess sensitivity of high-income consumers,p03217,lorenz kueng
3964,['F'],what do exporters know?,p01408,eduardo morales
3964,['F'],what do exporters know?, p03677, michael dickstein
3965,"['H', 'E']",marginal tax rates and income: new time series evidence,p02736,jose luis montiel olea
3965,"['H', 'E']",marginal tax rates and income: new time series evidence, p02908, karel mertens
3966,"['J', 'K']",racial bias in bail decisions,p01044,crystal yang
3966,"['J', 'K']",racial bias in bail decisions, p01153, david arnold
3966,"['J', 'K']",racial bias in bail decisions, p05479, will dobbie
3967,['E'],the elusive costs of inflation: price dispersion during the u.s. great inflation,p01121,daniel villar
3967,['E'],the elusive costs of inflation: price dispersion during the u.s. great inflation, p01486, emi nakamura
3967,['E'],the elusive costs of inflation: price dispersion during the u.s. great inflation, p02671, jon steinsson
3967,['E'],the elusive costs of inflation: price dispersion during the u.s. great inflation, p04126, patrick sun
3969,"['N', 'Z', 'J', 'P']",religious competition and reallocation: the political economy of secularization in the protestant reformation,p01269,davide cantoni
3969,"['N', 'Z', 'J', 'P']",religious competition and reallocation: the political economy of secularization in the protestant reformation, p02456, jeremiah dittmar
3969,"['N', 'Z', 'J', 'P']",religious competition and reallocation: the political economy of secularization in the protestant reformation, p03971, noam yuchtman
3972,"['J', 'E']",firming up inequality,p01240,david price
3972,"['J', 'E']",firming up inequality, p01660, fatih guvenen
3972,"['J', 'E']",firming up inequality, p02268, jae song
3972,"['J', 'E']",firming up inequality, p03902, nicholas bloom
3972,"['J', 'E']",firming up inequality, p05252, till von wachter
3973,"['L', 'I']",the price ain’t right? hospital prices and health spending on the privately insured,p02660,john van reenen
3973,"['L', 'I']",the price ain’t right? hospital prices and health spending on the privately insured, p03505, martin gaynor
3973,"['L', 'I']",the price ain’t right? hospital prices and health spending on the privately insured, p05069, stuart craig
3973,"['L', 'I']",the price ain’t right? hospital prices and health spending on the privately insured, p05659, zack cooper
3974,"['G', 'E']",regional heterogeneity and the refinancing channel of monetary policy,p00294,andreas fuster
3974,"['G', 'E']",regional heterogeneity and the refinancing channel of monetary policy, p01564, erik hurst
3974,"['G', 'E']",regional heterogeneity and the refinancing channel of monetary policy, p02784, joseph vavra
3974,"['G', 'E']",regional heterogeneity and the refinancing channel of monetary policy, p03495, martin beraja
3975,"['P', 'H', 'D', 'O']",busting the “princelings”: the campaign against corruption in china’s primary land market,p02304,james kai-sing kung
3975,"['P', 'H', 'D', 'O']",busting the “princelings”: the campaign against corruption in china’s primary land market, p05281, ting chen
3977,"['O', 'Q']",moral hazard: experimental evidence from tenancy contracts,p00595,benedetta lerva
3977,"['O', 'Q']",moral hazard: experimental evidence from tenancy contracts, p03043, konrad burchardi
3977,"['O', 'Q']",moral hazard: experimental evidence from tenancy contracts, p03837, munshi sulaiman
3977,"['O', 'Q']",moral hazard: experimental evidence from tenancy contracts, p04804, selim gulesci
3978,"['H', 'R', 'Q']",consequences of the clean water act and the demand for water quality,p01205,david keiser
3978,"['H', 'R', 'Q']",consequences of the clean water act and the demand for water quality, p02778, joseph shapiro
3979,"['G', 'F']",forward and spot exchange rates in a multi-currency world,p04688,rui mano
3979,"['G', 'F']",forward and spot exchange rates in a multi-currency world, p05150, tarek hassan
3983,"['N', 'E', 'F']",exchange arrangements entering the twenty-first century: which anchor will hold?,p00787,carmen reinhart
3983,"['N', 'E', 'F']",exchange arrangements entering the twenty-first century: which anchor will hold?, p01604, ethan ilzetzki
3983,"['N', 'E', 'F']",exchange arrangements entering the twenty-first century: which anchor will hold?, p02981, kenneth rogoff
3984,"['H', 'E', 'N', 'J', 'R', 'O']",who becomes an inventor in america? the importance of exposure to innovation,p00135,alex bell
3984,"['H', 'E', 'N', 'J', 'R', 'O']",who becomes an inventor in america? the importance of exposure to innovation, p02660, john van reenen
3984,"['H', 'E', 'N', 'J', 'R', 'O']",who becomes an inventor in america? the importance of exposure to innovation, p03899, neviana petkova
3984,"['H', 'E', 'N', 'J', 'R', 'O']",who becomes an inventor in america? the importance of exposure to innovation, p04390, raj chetty
3984,"['H', 'E', 'N', 'J', 'R', 'O']",who becomes an inventor in america? the importance of exposure to innovation, p05527, xavier jaravel
3986,"['O', 'G', 'D', 'Q']",sell low and buy high: arbitrage and local price effects in kenyan markets,p01418,edward miguel
3986,"['O', 'G', 'D', 'Q']",sell low and buy high: arbitrage and local price effects in kenyan markets, p03125, lauren bergquist
3986,"['O', 'G', 'D', 'Q']",sell low and buy high: arbitrage and local price effects in kenyan markets, p03488, marshall burke
3987,['F'],"the more we die, the more we sell? a simple test of the home-market effect",p00476,arnaud costinot
3987,['F'],"the more we die, the more we sell? a simple test of the home-market effect", p01148, dave donaldson
3987,['F'],"the more we die, the more we sell? a simple test of the home-market effect", p02069, heidi williams
3987,['F'],"the more we die, the more we sell? a simple test of the home-market effect", p03383, margaret kyle
3988,"['O', 'L', 'G', 'D']",strategic default in the international coffee market,p00486,arthur blouin
3988,"['O', 'L', 'G', 'D']",strategic default in the international coffee market, p04617, rocco macchiavello
3990,"['P', 'D']",protests as strategic games: experimental evidence from hong kong's antiauthoritarian movement,p01268,david yang
3990,"['P', 'D']",protests as strategic games: experimental evidence from hong kong's antiauthoritarian movement, p01269, davide cantoni
3990,"['P', 'D']",protests as strategic games: experimental evidence from hong kong's antiauthoritarian movement, p02350, jane zhang
3990,"['P', 'D']",protests as strategic games: experimental evidence from hong kong's antiauthoritarian movement, p03971, noam yuchtman
3991,"['J', 'E']",household time use among older couples: evidence and implications for labor supply parameters,p02558,johanna wallenius
3991,"['J', 'E']",household time use among older couples: evidence and implications for labor supply parameters, p04503, richard rogerson
3992,"['I', 'D', 'C']","ever failed, try again, succeed better: results from a randomized educational intervention on grit",p04801,seda ertac
3992,"['I', 'D', 'C']","ever failed, try again, succeed better: results from a randomized educational intervention on grit", p05080, sule alan
3992,"['I', 'D', 'C']","ever failed, try again, succeed better: results from a randomized educational intervention on grit", p05167, teodora boneva
3993,"['J', 'I']",implicit stereotypes: evidence from teachers’ gender bias,p03747,michela carlana
3994,"['G', 'N', 'E', 'D']","the rate of return on everything, 1870–2015",p00092,alan taylor
3994,"['G', 'N', 'E', 'D']","the rate of return on everything, 1870–2015", p01340, dmitry kuvshinov
3994,"['G', 'N', 'E', 'D']","the rate of return on everything, 1870–2015", p02930, katharina knoll
3994,"['G', 'N', 'E', 'D']","the rate of return on everything, 1870–2015", p03820, moritz schularick
3994,"['G', 'N', 'E', 'D']","the rate of return on everything, 1870–2015", p04038, oscar jorda
3995,"['L', 'H', 'I', 'D']",industry input in policy making: evidence from medicare,p01172,david chan
3995,"['L', 'H', 'I', 'D']",industry input in policy making: evidence from medicare, p03677, michael dickstein
3996,"['O', 'J']",who profits from patents? rent-sharing at innovative firms,p02069,heidi williams
3996,"['O', 'J']",who profits from patents? rent-sharing at innovative firms, p03899, neviana petkova
3996,"['O', 'J']",who profits from patents? rent-sharing at innovative firms, p04050, owen zidar
3996,"['O', 'J']",who profits from patents? rent-sharing at innovative firms, p04120, patrick kline
3997,['J'],the effect of minimum wages on low-wage jobs,p00470,arindrajit dube
3997,['J'],the effect of minimum wages on low-wage jobs, p00526, attila lindner
3997,['J'],the effect of minimum wages on low-wage jobs, p00594, ben zipperer
3997,['J'],the effect of minimum wages on low-wage jobs, p01368, doruk cengiz
3998,"['N', 'R', 'F']","trade, merchants, and the lost cities of the bronze age",p00188,ali hortacsu
3998,"['N', 'R', 'F']","trade, merchants, and the lost cities of the bronze age", p01946, gojko barjamovic
3998,"['N', 'R', 'F']","trade, merchants, and the lost cities of the bronze age", p02992, kerem cosar
3998,"['N', 'R', 'F']","trade, merchants, and the lost cities of the bronze age", p05197, thomas chaney
3999,"['H', 'I', 'C']",take-up and targeting: experimental evidence from snap,p00244,amy finkelstein
3999,"['H', 'I', 'C']",take-up and targeting: experimental evidence from snap, p03585, matthew notowidigdo
4000,"['H', 'I', 'D']","regressive sin taxes, with an application to the optimal soda tax",p00616,benjamin lockwood
4000,"['H', 'I', 'D']","regressive sin taxes, with an application to the optimal soda tax", p01342, dmitry taubinsky
4000,"['H', 'I', 'D']","regressive sin taxes, with an application to the optimal soda tax", p02151, hunt allcott
4001,"['H', 'M', 'I', 'C', 'O']","inputs, incentives, and complementarities in education: experimental evidence from tanzania",p01022,constantine manda
4001,"['H', 'M', 'I', 'C', 'O']","inputs, incentives, and complementarities in education: experimental evidence from tanzania", p02227, issac mbiti
4001,"['H', 'M', 'I', 'C', 'O']","inputs, incentives, and complementarities in education: experimental evidence from tanzania", p02923, karthik muralidharan
4001,"['H', 'M', 'I', 'C', 'O']","inputs, incentives, and complementarities in education: experimental evidence from tanzania", p03618, mauricio romero
4001,"['H', 'M', 'I', 'C', 'O']","inputs, incentives, and complementarities in education: experimental evidence from tanzania", p04399, rakesh rajani
4001,"['H', 'M', 'I', 'C', 'O']","inputs, incentives, and complementarities in education: experimental evidence from tanzania", p05620, youdi schipper
4002,['D'],capitalists in the twenty-first century,p01138,danny yagan
4002,['D'],capitalists in the twenty-first century, p01556, eric zwick
4002,['D'],capitalists in the twenty-first century, p03590, matthew smith
4002,['D'],capitalists in the twenty-first century, p04050, owen zidar
4003,"['J', 'M', 'I']",what do workplace wellness programs do? evidence from the illinois workplace wellness study,p01057,damon jones
4003,"['J', 'M', 'I']",what do workplace wellness programs do? evidence from the illinois workplace wellness study, p01228, david molitor
4003,"['J', 'M', 'I']",what do workplace wellness programs do? evidence from the illinois workplace wellness study, p02852, julian reif
4005,"['L', 'D', 'F']",how wide is the firm border?,p00188,ali hortacsu
4005,"['L', 'D', 'F']",how wide is the firm border?, p00828, chad syverson
4005,"['L', 'D', 'F']",how wide is the firm border?, p01504, enghin atalay
4005,"['L', 'D', 'F']",how wide is the firm border?, p03533, mary jialin li
4007,"['F', 'C']",shift-share designs: theory and inference,p01408,eduardo morales
4007,"['F', 'C']",shift-share designs: theory and inference, p03740, michal kolesar
4007,"['F', 'C']",shift-share designs: theory and inference, p04623, rodrigo adao
4008,"['L', 'M', 'D']",uniform pricing in u.s. retail chains,p03575,matthew gentzkow
4008,"['L', 'M', 'D']",uniform pricing in u.s. retail chains, p04976, stefano dellavigna
4009,"['J', 'M']",promotions and the peter principle,p00079,alan benson
4009,"['J', 'M']",promotions and the peter principle, p01136, danielle li
4009,"['J', 'M']",promotions and the peter principle, p02968, kelly shue
4010,"['H', 'D', 'G', 'E']",firm-level political risk: measurement and effects,p00059,ahmed tahoun
4010,"['H', 'D', 'G', 'E']",firm-level political risk: measurement and effects, p03131, laurence van lent
4010,"['H', 'D', 'G', 'E']",firm-level political risk: measurement and effects, p04992, stephan hollander
4010,"['H', 'D', 'G', 'E']",firm-level political risk: measurement and effects, p05150, tarek hassan
4019,"['O', 'E']","enterprise, inequality and economic development",p01059,dan bernhardt
4019,"['O', 'E']","enterprise, inequality and economic development", p02154, huw lloyd-ellis
4022,"['L', 'D', 'C']",experimentation in markets,p01331,dirk bergemann
4022,"['L', 'D', 'C']",experimentation in markets, p02891, juuso valimaki
4023,"['L', 'D', 'C']",on the effects of entry in cournot markets,p04355,rabah amir
4023,"['L', 'D', 'C']",on the effects of entry in cournot markets, p05386, val lambson
4025,"['J', 'C']","wage bargaining, inventories, and union legislation",p00345,andrew hildreth
4025,"['J', 'C']","wage bargaining, inventories, and union legislation", p03653, melvyn coles
4036,"['G', 'D']",information revelation and market incompleteness,p02737,jose marin
4036,"['G', 'D']",information revelation and market incompleteness, p04638, rohit rahi
4040,['D'],sequential screening,p03184,li hao
4040,['D'],sequential screening, p04098, pascal courty
4041,"['G', 'D']",financial intermediation with risk aversion,p03508,martin hellwig
4042,"['O', 'D']",endogenous inequality,p03020,kiminori matsuyama
4045,['D'],moral hazard and renegotiation with multiple agents,p02110,hideshi itoh
4045,['D'],moral hazard and renegotiation with multiple agents, p04878, shingo ishiguro
4049,"['H', 'R', 'F']",the role of market size in the formation of jurisdictions,p00120,alessandra casella
4050,"['D', 'C']",a theory of constitutional standards and civil liberty,p04632,roger lagunoff
4052,['D'],multiple-object auctions with budget constrained bidders,p02413,jean-pierre benoit
4052,['D'],multiple-object auctions with budget constrained bidders, p05419, vijay krishna
4053,"['G', 'D']",wealth inequality and asset pricing,p00900,christian gollier
4054,['H'],using elasticities to derive optimal income tax rates,p01501,emmanuel saez
4056,"['J', 'D', 'C']","social interactions, local spillovers and unemployment",p01919,giorgio topa
4057,"['L', 'D']",queues and hierarchies,p00078,alan beggs
4058,"['D', 'C']",a decentralized market with common values uncertainty: non-steady states,p03621,max blouin
4058,"['D', 'C']",a decentralized market with common values uncertainty: non-steady states, p04608, roberto serrano
4063,"['E', 'F']",international trade and currency exchange,p02077,helene rey
4065,"['O', 'G', 'D']",an evolutionary approach to financial innovation,p03338,marc oliver bettzuge
4065,"['O', 'G', 'D']",an evolutionary approach to financial innovation, p05249, thorsten hens
4070,['D'],surplus extraction and competition,p03711,michael peters
4074,['C'],repeated bargaining with persistent private information,p02619,john kennan
4075,['D'],"risk pooling, precautionary saving and consumption growth",p00054,agar brugiavini
4075,['D'],"risk pooling, precautionary saving and consumption growth", p02283, james banks
4075,['D'],"risk pooling, precautionary saving and consumption growth", p04486, richard blundell
4077,"['L', 'F']",the evolution of price dispersion in the european car market,p01780,frank verboven
4077,"['L', 'F']",the evolution of price dispersion in the european car market, p04320, pinelopi goldberg
4079,['O'],beyond balanced growth,p01139,danyang xie
4079,['O'],beyond balanced growth, p04324, piyabha kongsamut
4079,['O'],beyond balanced growth, p04824, sergio rebelo
4080,['D'],ambiguity aversion and incompleteness of financial markets,p02403,jean-marc tallon
4080,['D'],ambiguity aversion and incompleteness of financial markets, p05079, sujoy mukerji
4084,['E'],on endogenously staggered prices,p05384,v bhaskar
4090,"['D', 'C']","trade liberalization, exit, and productivity improvements: evidence from chilean plants",p03963,nina pavcnik
4093,"['H', 'C']",gradualism and irreversibility,p00616,benjamin lockwood
4093,"['H', 'C']",gradualism and irreversibility, p02704, jonathan thomas
4094,"['I', 'D', 'C']",welfare measurement and measurement error,p00334,andrew chesher
4094,"['I', 'D', 'C']",welfare measurement and measurement error, p00913, christian schluter
4097,"['H', 'I', 'D']",the design of optimal education policies,p01905,gianni de fraja
4102,['O'],input chains and industrialization,p00438,antonio ciccone
4103,['D'],fault tolerant implementation,p03013,kfir eliaz
4106,"['R', 'D', 'C']",evolutionary implementation and congestion pricing,p05499,william sandholm
4111,"['J', 'E']",directed technical change,p01145,daron acemoglu
4115,"['L', 'D']",monotone matching in perfect and imperfect worlds,p00353,andrew newman
4115,"['L', 'D']",monotone matching in perfect and imperfect worlds, p04121, patrick legros
4116,"['L', 'D']",estimating demand for local telephone service with asymmetric information and optional calling plans,p01620,eugenio miravete
4117,"['H', 'C']",imitation and belief learning in an oligopoly experiment,p02341,jan potters
4117,"['H', 'C']",imitation and belief learning in an oligopoly experiment, p02552, joep sonnemans
4117,"['H', 'C']",imitation and belief learning in an oligopoly experiment, p05178, theo offerman
4118,"['M', 'D']",campaign advertising and voter welfare,p00285,andrea prat
4121,['O'],contracting productivity growth,p02534,joanne roberts
4121,['O'],contracting productivity growth, p04115, patrick francois
4123,"['D', 'C']","empirical implications of equilibrium bidding in first-price, symmetric, common value auctions",p02729,joris pinkse
4123,"['D', 'C']","empirical implications of equilibrium bidding in first-price, symmetric, common value auctions", p02976, kenneth hendricks
4123,"['D', 'C']","empirical implications of equilibrium bidding in first-price, symmetric, common value auctions", p04572, robert porter
4126,['O'],patterns of skill premia,p01145,daron acemoglu
4128,"['L', 'G', 'D']","collusion, delegation and supervision with soft information",p00420,antoine faure-grimaud
4128,"['L', 'G', 'D']","collusion, delegation and supervision with soft information", p01219, david martimort
4128,"['L', 'G', 'D']","collusion, delegation and supervision with soft information", p02399, jean-jacques laffont
4129,['G'],financial contracting theory meets the real world: an empirical analysis of venture capital contracts,p04188,per stromberg
4129,['G'],financial contracting theory meets the real world: an empirical analysis of venture capital contracts, p05052, steven kaplan
4143,"['D', 'F']",foreign direct investment and exports with growing demand,p03952,nikolaos vettas
4143,"['D', 'F']",foreign direct investment and exports with growing demand, p04373, rafael rob
4144,"['E', 'D']",monetary policy committees: individual and collective reputations,p00404,anne sibert
4147,['E'],gaps and triangles,p00636,bernardino adao
4147,['E'],gaps and triangles, p02219, isabel correia
4147,['E'],gaps and triangles, p04181, pedro teles
4148,['E'],expectation traps and monetary policy,p03142,lawrence christiano
4148,['E'],expectation traps and monetary policy, p04969, stefania albanesi
4148,['E'],expectation traps and monetary policy, p05395, varadarajan chari
4152,['E'],optimal monetary policy,p00171,alexander wolman
4152,['E'],optimal monetary policy, p00527, aubhik khan
4152,['E'],optimal monetary policy, p04551, robert king
4154,"['E', 'D', 'C']",learning and equilibrium selection in a monetary overlapping generations model with sticky prices,p03033,klaus adam
4155,"['J', 'E']",strategic monetary policy with non-atomistic wage setters,p01738,francesco lippi
4156,"['L', 'D', 'C']",investment incentives in procurement auctions,p01600,estelle cantillon
4156,"['L', 'D', 'C']",investment incentives in procurement auctions, p03150, leandro arozamena
4158,['D'],a pure theory of job security and labour income risk,p01932,giuseppe bertola
4160,"['D', 'F', 'C']",does one soros make a difference? a theory of currency crises with large and small traders,p00231,amil dasgupta
4160,"['D', 'F', 'C']",does one soros make a difference? a theory of currency crises with large and small traders, p01900, giancarlo corsetti
4160,"['D', 'F', 'C']",does one soros make a difference? a theory of currency crises with large and small traders, p02157, hyun song shin
4160,"['D', 'F', 'C']",does one soros make a difference? a theory of currency crises with large and small traders, p05026, stephen morris
4168,"['D', 'G', 'F']",optimal lending contracts and firm dynamics,p02144,hugo hopenhayn
4168,"['D', 'G', 'F']",optimal lending contracts and firm dynamics, p04686, rui albuquerque
4177,"['L', 'J', 'D', 'C']","piece rates, fixed wages and incentives: evidence from a field experiment",p00737,bruce shearer
4180,['L'],a dynamic analysis of the market for wide-bodied commercial aircraft,p03086,lanier benkard
4181,"['L', 'C']",limit theorems for estimating the parameters of differentiated product demand systems,p00463,ariel pakes
4181,"['L', 'C']",limit theorems for estimating the parameters of differentiated product demand systems, p04006, oliver linton
4181,"['L', 'C']",limit theorems for estimating the parameters of differentiated product demand systems, p05039, steve berry
4182,"['J', 'C']",endogeneity in semiparametric binary response models,p02316,james powell
4182,"['J', 'C']",endogeneity in semiparametric binary response models, p04486, richard blundell
4186,"['E', 'D']",precautionary wealth accumulation,p03454,mark huggett
4188,"['D', 'C']",informational size and efficient auctions,p00355,andrew postlewaite
4188,"['D', 'C']",informational size and efficient auctions, p04501, richard mclean
4191,['E'],"balance sheet effects, bailout guarantees and financial crises",p00004,aaron tornell
4191,['E'],"balance sheet effects, bailout guarantees and financial crises", p03521, martin schneider
4192,"['E', 'D']",money and information,p00117,aleksander berentsen
4192,"['E', 'D']",money and information, p01997, guillaume rocheteau
4196,"['G', 'D', 'C']",empirical analysis of limit order markets,p00759,burton hollifield
4196,"['G', 'D', 'C']",empirical analysis of limit order markets, p04128, patrik sandas
4196,"['G', 'D', 'C']",empirical analysis of limit order markets, p04565, robert miller
4200,['J'],does poaching distort training?,p00501,asa rosen
4200,['J'],does poaching distort training?, p01596, espen moen
4205,"['H', 'E']",optimal taxation when consumers have endogenous benchmark levels of consumption,p00325,andrew abel
4206,"['O', 'D', 'C']",special interests and technological change,p01904,gianmarco ottaviano
4206,"['O', 'D', 'C']",special interests and technological change, p01915, giorgio bellettini
4208,['J'],"wages, experience and seniority",p00897,christian dustmann
4208,['J'],"wages, experience and seniority", p01033, costas meghir
4209,"['N', 'J', 'E']",engines of liberation,p00257,ananth seshadri
4209,"['N', 'J', 'E']",engines of liberation, p02459, jeremy greenwood
4209,"['N', 'J', 'E']",engines of liberation, p03641, mehmet yorukoglu
4210,"['F', 'L', 'D']",outsourcing in a global economy,p01455,elhanan helpman
4210,"['F', 'L', 'D']",outsourcing in a global economy, p01851, gene grossman
4211,"['H', 'E']",fiscal policy with heterogeneous agents and incomplete markets,p02689,jonathan heathcote
4212,['I'],the relationship between education and adult mortality in the united states,p00048,adriana lleras-muney
4215,"['L', 'D', 'F']",environmental protection: a theory of direct and indirect competition for political influence,p05676,zhihao yu
4217,"['L', 'G', 'E']",the cost of recessions revisited: a reverse-liquidationist view,p03802,mohamad hammour
4217,"['L', 'G', 'E']",the cost of recessions revisited: a reverse-liquidationist view, p04476, ricardo caballero
4219,['E'],partisan social happiness,p04366,rafael di tella
4219,['E'],partisan social happiness, p04557, robert macculloch
4222,['D'],a bayesian approach to uncertainty aversion,p05429,vincent feltkamp
4222,['D'],a bayesian approach to uncertainty aversion, p05611, yoram halevy
4225,"['H', 'K', 'D', 'C']",endogenous games and mechanisms: side payments among players,p03578,matthew jackson
4225,"['H', 'K', 'D', 'C']",endogenous games and mechanisms: side payments among players, p04920, simon wilkie
4228,"['L', 'G']",strategic liquidity supply and security design,p00740,bruno biais
4228,"['L', 'G']",strategic liquidity supply and security design, p05223, thomas mariotti
4229,"['O', 'H', 'I']",the intergenerational state education and pensions,p00249,ana montes
4229,"['O', 'H', 'I']",the intergenerational state education and pensions, p03750, michele boldrin
4230,['E'],gross credit flows,p01922,"""giovanni dellariccia"""
4230,['E'],gross credit flows, p04315, pietro garibaldi
4232,"['E', 'F']",monetary policy and exchange rate volatility in a small open economy,p02718,jordi gali
4232,"['E', 'F']",monetary policy and exchange rate volatility in a small open economy, p05317, tommaso monacelli
4233,['C'],consistent testing for stochastic dominance under general sampling schemes,p01594,esfandiar maasoumi
4233,['C'],consistent testing for stochastic dominance under general sampling schemes, p04006, oliver linton
4233,['C'],consistent testing for stochastic dominance under general sampling schemes, p05608, yoon-jae whang
4237,"['L', 'C']","household electricity demand, revisited",p03595,matthew white
4237,"['L', 'C']","household electricity demand, revisited", p04234, peter reiss
4240,"['L', 'D']",market provision of broadcasting: a welfare analysis,p04905,simon anderson
4240,"['L', 'D']",market provision of broadcasting: a welfare analysis, p05015, stephen coate
4241,['D'],uncertainty and consumer durables adjustment,p01932,giuseppe bertola
4241,['D'],uncertainty and consumer durables adjustment, p03256, luigi guiso
4241,['D'],uncertainty and consumer durables adjustment, p03260, luigi pistaferri
4245,"['L', 'R', 'C']",testing for localization using micro-geographic data,p01910,gilles duranton
4245,"['L', 'R', 'C']",testing for localization using micro-geographic data, p02093, henry overman
4247,['E'],the timing of purchases and aggregate fluctuations,p02623,john leahy
4247,['E'],the timing of purchases and aggregate fluctuations, p02785, joseph zeira
4249,['D'],the economics of clear advice and extreme options,p01312,dezso szalay
4250,"['H', 'D']",dynamic optimal taxation with private information,p00965,christopher sleet
4250,"['H', 'D']",dynamic optimal taxation with private information, p04969, stefania albanesi
4255,['E'],asymmetric cycles,p00681,boyan jovanovic
4256,"['D', 'G', 'E']",does income inequality lead to consumption inequality? evidence and theory,p01334,dirk krueger
4256,"['D', 'G', 'E']",does income inequality lead to consumption inequality? evidence and theory, p01654, fabrizio perri
4257,"['E', 'D']",deep habits,p03525,martin uribe
4257,"['E', 'D']",deep habits, p03825, morten ravn
4257,"['E', 'D']",deep habits, p05004, stephanie schmitt-grohe
4260,"['L', 'D']",firm turnover in imperfectly competitive markets,p03374,marcus asplund
4260,"['L', 'D']",firm turnover in imperfectly competitive markets, p05449, volker nocke
4264,['D'],an axiomatic model of non-bayesian updating,p03089,larry epstein
4265,"['E', 'F', 'C']",monetary union with voluntary participation,p01738,francesco lippi
4265,"['E', 'F', 'C']",monetary union with voluntary participation, p05488, william fuchs
4266,"['E', 'F', 'J', 'R', 'G']",housing market dynamics: on the contribution of income shocks and credit constraints,p01766,francois ortalo-magne
4266,"['E', 'F', 'J', 'R', 'G']",housing market dynamics: on the contribution of income shocks and credit constraints, p05111, sven rady
4275,['L'],contracting with diversely naive agents,p03013,kfir eliaz
4275,['L'],contracting with diversely naive agents, p04412, ran spiegler
4276,['F'],the elusive gains from international financial integration,p04017,olivier jeanne
4276,['F'],the elusive gains from international financial integration, p04310, pierre-olivier gourinchas
4277,"['J', 'D', 'H']",optimal redistributive taxation in a search equilibrium model,p00182,alexis parmentier
4277,"['J', 'D', 'H']",optimal redistributive taxation in a search equilibrium model, p00751, bruno van der linden
4277,"['J', 'D', 'H']",optimal redistributive taxation in a search equilibrium model, p01610, etienne lehmann
4277,"['J', 'D', 'H']",optimal redistributive taxation in a search equilibrium model, p03549, mathias hungerbuhler
4279,"['E', 'D']",inattentive producers,p04480,ricardo reis
4282,"['Z', 'J', 'D']",equilibrium directed search with multiple applications,p02279,james albrecht
4282,"['Z', 'J', 'D']",equilibrium directed search with multiple applications, p04314, pieter gautier
4282,"['Z', 'J', 'D']",equilibrium directed search with multiple applications, p05098, susan vroman
4285,"['O', 'L', 'D']",income distribution and demand-induced innovations,p02755,josef zweimuller
4285,"['O', 'L', 'D']",income distribution and demand-induced innovations, p04471, reto foellmi
4288,"['J', 'C']",how changes in financial incentives affect the duration of unemployment,p02345,jan van ours
4288,"['J', 'C']",how changes in financial incentives affect the duration of unemployment, p02755, josef zweimuller
4288,"['J', 'C']",how changes in financial incentives affect the duration of unemployment, p04369, rafael lalive
4289,['D'],monotone equilibrium in multi-unit auctions,p01224,david mcadams
4290,['C'],forecasting time series subject to multiple structural breaks,p00201,allan timmermann
4290,['C'],forecasting time series subject to multiple structural breaks, p01271, davide pettenuzzo
4290,['C'],forecasting time series subject to multiple structural breaks, p02063, hashem pesaran
